CLIENTNUM,Education_Level
768805383,High School
818770008,Graduate
713982108,Graduate
769911858,High School
709106358,Uneducated
713061558,Graduate
810347208,Unknown
818906208,High School
710930508,Uneducated
719661558,Graduate
708790833,Uneducated
710821833,Unknown
710599683,College
816082233,Graduate
712396908,Graduate
714885258,Unknown
709967358,Post-Graduate
753327333,Unknown
806160108,High School
709327383,Graduate
806165208,Doctorate
708508758,Graduate
784725333,High School
811604133,Unknown
789124683,Unknown
771071958,Graduate
720466383,High School
804424383,Unknown
718813833,Uneducated
806624208,High School
778348233,Unknown
712991808,Uneducated
709029408,Graduate
788658483,College
787937058,Graduate
715318008,College
713962233,Graduate
785432733,High School
715190283,Graduate
708300483,Doctorate
827111283,Graduate
758551608,Unknown
773146383,College
778493808,High School
720572508,Graduate
712661433,Uneducated
789172683,Doctorate
738406533,Doctorate
799723908,High School
771490833,College
720756708,Unknown
779471883,Graduate
711525033,High School
712813458,Unknown
714374133,Graduate
717891558,Graduate
716632758,Graduate
768563658,Uneducated
711427458,Graduate
714091983,High School
787584108,Unknown
712030833,Graduate
711481533,High School
710082708,Post-Graduate
708155733,High School
788979258,Uneducated
807986133,College
788730933,Uneducated
711314058,Graduate
717975333,Doctorate
715971108,Graduate
720096558,Graduate
719580033,Graduate
820582308,Uneducated
789973308,College
712876233,Graduate
804595158,Graduate
714826758,Uneducated
779058108,Graduate
710790258,Graduate
715623483,Graduate
715156383,Unknown
711013983,Unknown
755420433,Graduate
794543958,Graduate
716396358,Graduate
715398033,High School
711743883,Uneducated
719720058,High School
778992108,Unknown
717539808,High School
714070758,High School
714107958,Graduate
789140283,Graduate
715550508,Unknown
719712633,Graduate
772629333,Graduate
720336708,Doctorate
802013583,College
711887583,Unknown
714778833,College
713843283,Unknown
779155158,Graduate
721091583,Graduate
713572683,High School
716657058,Post-Graduate
779509983,Post-Graduate
717929133,Uneducated
808284783,Unknown
708476808,Unknown
710916408,Graduate
708492558,Unknown
799825758,High School
718619883,Uneducated
711844758,Graduate
714798783,Graduate
826762908,High School
771894558,High School
721074183,Doctorate
715259583,High School
718414008,Graduate
719666283,Doctorate
714877233,High School
785387883,High School
771075258,College
